,B/S,Date,Symbol,Company,Qty,Net Value,Unit Value
0,Buy,03-Apr-2023 16:44,ATLANTA,Atlanta  Limited,94000,1467275,15.609308510638298
1,Sell,03-Apr-2023 16:35,ZENTEC,Zen Technologies Limited,40000,13108406,327.71015
2,Sell,03-Apr-2023 16:19,PSPPROJECT,PSP Projects Limited,620000,410981774,662.8738290322581
3,Buy,03-Apr-2023 16:11,CENTRUM,Centrum Capital Limited,7700,147378,19.14
4,Buy,03-Apr-2023 16:11,CENTRUM,Centrum Capital Limited,100000,1909336,19.09336
5,Pledge Revoke,03-Apr-2023 16:07,FCONSUMER,Future Consumer Limited,7985100,14053776,1.76
6,Pledge Revoke,03-Apr-2023 16:05,FCONSUMER,Future Consumer Limited,23561799,41468766,1.7599999898140206
7,Buy,03-Apr-2023 15:43,LYKALABS,Lyka Labs Limited,634429,0,0.0
8,Sell,03-Apr-2023 15:43,LYKALABS,Lyka Labs Limited,634429,0,0.0
9,Buy,03-Apr-2023 15:33,ORIENTBELL,Orient Bell Limited,18932,9560660,505.0
10,Buy,03-Apr-2023 15:33,ORIENTBELL,Orient Bell Limited,14000,7069720,504.98
11,Buy,03-Apr-2023 15:33,ORIENTBELL,Orient Bell Limited,10000,5050000,505.0
12,Buy,03-Apr-2023 15:24,CYBERTECH,Cybertech Systems And Software Limited,43750,4376329,100.03037714285715
13,Buy,03-Apr-2023 14:32,KOPRAN,Kopran Limited,28500,3076005,107.93
14,Buy,03-Apr-2023 14:29,INDOCO,Indoco Remedies Limited,1500,495750,330.5
15,Buy,03-Apr-2023 14:29,INDOCO,Indoco Remedies Limited,2022,668777,330.75024727992087
16,Buy,03-Apr-2023 14:28,ZOTA,Zota Health Care LImited,21500,6197375,288.25
17,Buy,03-Apr-2023 14:26,KOPRAN,Kopran Limited,65500,7013740,107.08
18,Buy,03-Apr-2023 14:09,FMNL,Future Market Networks Limited,191968,777470,4.049997916319387
19,Sell,03-Apr-2023 14:09,FMNL,Future Market Networks Limited,191968,777470,4.049997916319387
20,Buy,03-Apr-2023 13:56,SUPRIYA,Supriya Lifescience Limited,13000,2472864,190.2203076923077
21,Buy,03-Apr-2023 13:56,HERANBA,Heranba Industries Limited,17000,4794335,282.0197058823529
22,Pledge Revoke,03-Apr-2023 13:27,GATI,GATI Limited,20000,2063000,103.15
23,Sell,03-Apr-2023 13:16,ARMANFIN,Arman Financial Services Limited,500,669871,1339.742
24,Sell,03-Apr-2023 13:06,BAJAJFINSV,Bajaj Finserv Limited,405000,499565653,1233.495439506173
25,Buy,03-Apr-2023 13:06,BAJAJFINSV,Bajaj Finserv Limited,405000,500859413,1236.6899086419753
26,Sell,03-Apr-2023 12:45,ZOTA,Zota Health Care LImited,21500,6197375,288.25
27,Buy,02-Apr-2023 22:07,KIRLOSIND,Kirloskar Industries Limited,2904,7072823,2435.5451101928375
28,Buy,02-Apr-2023 22:03,KIRLOSIND,Kirloskar Industries Limited,2904,7072823,2435.5451101928375
29,Sell,02-Apr-2023 21:58,KIRLOSIND,Kirloskar Industries Limited,4380,10582163,2416.0189497716897
30,Sell,02-Apr-2023 21:52,KIRLOSIND,Kirloskar Industries Limited,1428,3450075,2416.018907563025
31,Buy,01-Apr-2023 22:52,TIRUMALCHM,Thirumalai Chemicals Limited,2500,437625,175.05
32,Buy,01-Apr-2023 18:37,KARURVYSYA,Karur Vysya Bank Limited,12500,1297413,103.79304
33,Buy,01-Apr-2023 16:16,BAJAJHLDNG,Bajaj Holdings & Investment Limited,3500,21189475,6054.135714285714
34,Buy,01-Apr-2023 15:20,MAHICKRA,Mahickra Chemicals Limited,1500,148350,98.9
35,Buy,01-Apr-2023 15:20,MAHICKRA,Mahickra Chemicals Limited,1500,144000,96.0
36,Buy,01-Apr-2023 14:09,MANAKSIA,Manaksia Limited,2381000,252386000,106.0
37,Sell,01-Apr-2023 14:09,MANAKSIA,Manaksia Limited,1291000,136846000,106.0
38,Sell,01-Apr-2023 14:09,MANAKSIA,Manaksia Limited,1090000,115540000,106.0
39,Sell,01-Apr-2023 14:04,KIRLOSENG,Kirloskar Oil Engines Limited,21427,8408917,392.4449059597704
40,Buy,01-Apr-2023 14:04,KIRLOSENG,Kirloskar Oil Engines Limited,77817,30785603,395.61539252348456
41,Sell,01-Apr-2023 14:04,KIRLOSENG,Kirloskar Oil Engines Limited,134208,52669287,392.44521190987126
42,Buy,01-Apr-2023 14:04,KIRLOSENG,Kirloskar Oil Engines Limited,77818,30785998,395.61538461538464
43,Buy,01-Apr-2023 13:42,VERANDA,Veranda Learning Solutions Limited,13000,2668798,205.29215384615384
44,Buy,01-Apr-2023 13:28,WORTH,Worth Peripherals Limited,6244,579755,92.84993593850096
45,Buy,01-Apr-2023 13:16,VERANDA,Veranda Learning Solutions Limited,24500,4989323,203.6458367346939
46,Buy,01-Apr-2023 13:11,VERANDA,Veranda Learning Solutions Limited,13000,2681036,206.23353846153847
47,Sell,01-Apr-2023 12:38,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,5805428,60265454,10.380880444990447
48,Buy,01-Apr-2023 11:36,LINC,Linc Limited,6595,3419151,518.4459438968915
49,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,300000,28799100,95.997
50,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,400000,38458000,96.145
51,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,300000,29099490,96.9983
52,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,48000,4700539,97.92789583333334
53,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,125000,11999788,95.998304
54,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,50000,4849965,96.9993
55,Buy,31-Mar-2023 21:00,BEPL,Bhansali Engineering Polymers Limited,50000,4849140,96.9828
56,Buy,31-Mar-2023 19:57,MOTILALOFS,Motilal Oswal Financial Services Limited,35190,20386559,579.3281898266553
57,Buy,31-Mar-2023 19:57,MOTILALOFS,Motilal Oswal Financial Services Limited,113,65540,580.0
58,Buy,31-Mar-2023 19:57,MOTILALOFS,Motilal Oswal Financial Services Limited,289,167159,578.4048442906575
59,Buy,31-Mar-2023 19:57,MOTILALOFS,Motilal Oswal Financial Services Limited,34875,20184488,578.7666810035843
60,Sell,31-Mar-2023 19:33,METROPOLIS,Metropolis Healthcare Limited,1280266,0,0.0
61,Buy,31-Mar-2023 19:33,METROPOLIS,Metropolis Healthcare Limited,1280266,0,0.0
62,Pledge,31-Mar-2023 19:07,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,33000,8279700,250.9
63,Pledge,31-Mar-2023 19:00,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,58000,14552200,250.9
64,Buy,31-Mar-2023 18:52,DBOL,Dhampur Bio Organics Limited,150000,20572500,137.15
65,Pledge,31-Mar-2023 18:45,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,150000,38212500,254.75
66,Sell,31-Mar-2023 18:34,SHRENIK,Shrenik Limited,1274778,1146918,0.8997001830907029
67,Buy,31-Mar-2023 18:30,VITAL,Vital Chemtech Limited,36000,2766600,76.85
68,Buy,31-Mar-2023 18:28,VITAL,Vital Chemtech Limited,36000,2766600,76.85
